0, 67
502, 38
1004, 44
1507, 22
2010, 49
2512, 56
3019, 98
3527, 89
4032, 72
4534, 44
5036, 74
5539, 38
6042, 60
6545, 38
7049, 57
7553, 42
8057, 70
8560, 45
9062, 67
9564, 49
10066, 74
10569, 56
11072, 69
11574, 44
12077, 82
12579, 97
13083, 98
13587, 88
14089, 99
14592, 94
15094, 94
15596, 84
16099, 90
16603, 53
17106, 67
17610, 34
18111, 58
18616, 47
19119, 97
19621, 98
20123, 98
20626, 89
21128, 86
21631, 73
22134, 78
22639, 53
23141, 81
23645, 42
24148, 66
24652, 42
25156, 58
25659, 52
26163, 95
26666, 95
27168, 98
27671, 69
28173, 79
28676, 59
29182, 85
29689, 78
30196, 97
30707, 49
31213, 83
31729, 70
32238, 88
32740, 63
33242, 83
33765, 54
34275, 82
34778, 79
