exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,31,33,32.11392405063291,-54967,-21946,2589.6536458333335,4117.587044534413,14991.413571243367,7484.015351400214,16.374206975935905,16.68402848380763,49.13815789473684,74.14473684210526,30.167503,19.160892,0.0,0,0,1051.814,1051.025,1051.814,1043.615,1040.249,603.5424817708333,602.0225911458334,603.5424817708333,598.1222451361867,596.6521984435797,294.6149635091333,293.2796308045414,293.08558323276316,291.5900946155305,1.3333333333333333,384,257,4.092007587063479,4.129941553485358,127.28928874226017,134.1273673480337,0.0,0
0001,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,64,66,64.52631578947368,-339654,-131268,-22620.529947916668,-6473.965447154472,65293.87895074517,29829.631870752753,16.28196565387187,16.28609589220689,41.94736842105263,65.375,30.128636,18.637273,0.0,0,0,1176.388,1172.493,1176.388,1125.559,1116.994,684.06844140625,681.4395338541666,684.06844140625,652.1502213114754,650.3494323770492,313.88228367884824,312.27975204439525,297.89409927362664,296.5181648794799,1.3333333333333333,768,488,4.068905559345666,3.9899392631495667,254.90699280246207,261.8408819788174,0.0,0
0002,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,128,130,129.10526315789474,-12329,-8325,5724.766233766234,5648.626016260163,3078.6334550282804,3236.0991291755886,4.087647080974059,4.170748787041983,31.901315789473685,47.56578947368421,30.180715,19.178042,0.0,0,0,1078.271,1078.019,1078.271,1065.828,1065.49,631.3250935064935,630.676451948052,631.3250935064935,634.2821619433198,633.5094979757084,290.8786518808172,290.50935238835694,290.8076278098153,290.30484051403107,None,385,247,1.0217374645584818,1.0465617527067115,127.56490361477519,128.79312705645341,0.0,0
0003,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,256,262,258.55555555555554,-39809,-31689,142.95058517555267,14.232032854209445,7615.64919638837,7804.534865752175,4.080656777998731,4.172193221514529,31.763157894736842,48.78947368421053,29.3314,18.339278,0.0,0,0,1183.635,1183.392,1183.635,1176.876,1176.574,727.6743615084525,725.7828283485045,727.6743615084525,722.2758760162601,720.3079959349594,287.4615056815795,286.28267172513233,288.58022925614705,287.3234405746842,None,769,492,1.0197980503191846,1.0477075983130977,262.1763707153426,268.27664644158835,0.0,0
